key,code,moment,duration-start-time,duration-end-time,amount,type,email,link,draftMode,key:project,key:sponsor
sponsorship-01,A-120,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor01@acme.com,https://snap.fan/,true,project-01,sponsor-01
sponsorship-02,AB-121,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor02@acme.com,https://snap.fan/,true,project-02,sponsor-02
sponsorship-03,ABC-122,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor03@acme.com,https://snap.fan/,false,project-03,sponsor-01
sponsorship-04,ZZZ-999,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor04@acme.com,https://snap.fan/,false,project-04,sponsor-02
sponsorship-05,ABC-124,1984/04/22 0:00,1985/08/01 13:00,1995/10/02 0:00,EUR 20000.4,FINANCIAL,sponsor05@acme.com,https://snap.fan/,false,project-05,sponsor-01
sponsorship-06,ABC-125,1970/01/01 0:00,1970/01/02 0:00,1970/02/15 0:00,EUR 20000.4,FINANCIAL,sponsor06@acme.com,https://snap.fan/,false,project-06,sponsor-02
sponsorship-07,ABC-126,2022/05/01 0:00,2022/05/05 13:00,2022/06/06 13:00,EUR 20000.4,FINANCIAL,sponsor07@acme.com,https://snap.fan/,false,project-07,sponsor-01
sponsorship-08,ABC-127,2000/07/27 0:00,2000/08/06 13:00,2000/10/07 13:00,EUR 20000.4,FINANCIAL,sponsor08@acme.com,https://snap.fan/,false,project-08,sponsor-02
sponsorship-09,ABC-128,1993/07/28 0:00,1993/08/07 13:00,1993/10/08 13:00,EUR 20000.4,FINANCIAL,sponsor09@acme.com,https://snap.fan/,false,project-09,sponsor-01
sponsorship-10,ABC-129,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,USD 0.00,FINANCIAL,sponsor10@acme.com,https://snap.fan/,false,project-10,sponsor-02
sponsorship-11,ABC-130,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,GBP 1000000.0,FINANCIAL,sponsor11@acme.com,https://snap.fan/,false,project-11,sponsor-01
sponsorship-12,ABC-131,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 510000.8,FINANCIAL,sponsor12@acme.com,https://snap.fan/,false,project-12,sponsor-02
sponsorship-13,ABC-132,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.9,FINANCIAL,sponsor13@acme.com,https://snap.fan/,false,project-13,sponsor-01
sponsorship-14,ABC-133,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 2100.9,FINANCIAL,sponsor14@acme.com,https://snap.fan/,false,project-01,sponsor-02
sponsorship-15,ABC-134,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,INKIND,sponsor15@acme.com,https://snap.fan/,false,project-02,sponsor-01
sponsorship-16,ABC-135,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,,https://snap.fan/,false,project-03,sponsor-02
sponsorship-17,ABC-136,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor17@acme.com,https://snap.fan/,false,project-04,sponsor-01
sponsorship-18,ABC-137,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,m@p.m,https://snap.fan/,false,project-05,sponsor-02
sponsorship-19,ABC-138,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,orsponsorsponsorspponsorsponsoorsponsorsponsorspponsorsponso@acme.com,https://snap.fan/,false,project-06,sponsor-01
sponsorship-20,ABC-139,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor20@acme.com,https://x.es,false,project-07,sponsor-02
sponsorship-21,ABC-140,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor21@acme.com,https://snap.fan/,false,project-08,sponsor-01
sponsorship-22,ABC-141,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor22@acme.com,https://www.example.com/j85G0iFVn28zmlPzPij7KPTy4Y9QuOuivR2oFZ2Twu2l5NlXf4IyZrIXG6KlWldkJf7l67Cn0z8YVGKxGzNmj5KmwEo1r5a36eC75x6lr4y,false,project-09,sponsor-02
sponsorship-23,ABC-142,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor23@acme.com,http://www.unenlacemuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyylargo.com,false,project-10,sponsor-01
sponsorship-24,ABC-143,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor24@acme.com,https://www.example.com/j85G0iFVn28zmlPzPij7KPTy4Y9QuOuivR2oFZ2,false,project-11,sponsor-02
sponsorship-25,ABC-144,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor25@acme.com,,false,project-12,sponsor-01
sponsorship-26,ABC-145,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor26@acme.com,https://snap.fan/,false,project-13,sponsor-02
sponsorship-27,ABC-146,2021/07/20 0:00,2021/07/30 13:00,2021/09/30 13:00,EUR 20000.4,FINANCIAL,sponsor27@acme.com,https://snap.fan/,false,project-14,sponsor-02
